name:es_aa,2014
Argentina,1.731
Barbados,0.562
Banglades,0.657
Bolivia,1.332
Brasil,3.237
Bahamas,0.417
Botsuana,0.393
Belice,1.053
RD Congo,0.905
Costa de Marfil,0.419
Chile,3.479
Camerun,0.884
China,3.123
Hebei,2.037
Nei Mongol,2.454
Jilin,2.204
Heilongjiang,1.704
Jiangsu,2.12
Fujian,1.287
Shandong,1.704
Hubei,1.62
Guangdong,2.204
Sichuan,2.12
Yunnan,2.454
Xizang,0.954
Gansu,2.204
Qinghai,1.87
Xinjiang,2.454
Colombia,2.95
Costa Rica,2.413
Republica Dominicana,2.117
Ecuador,1.586
Etiopia,0.966
Ghana,1.773
Guatemala,1.446
Guyana,0.706
Honduras,1.561
Haiti,0.071
Indonesia,2.407
India,2.682
Andhra Pradesh,1.182
Gujarat,1.265
Karnataka,1.599
Maharashtra,1.182
Madhya Pradesh,0.765
Punjab,1.349
Rajasthan,1.432
Tamil Nadu,1.682
Uttar Pradesh,1.099
West Bengal,0.849
Jamaica,1.176
Kenia,1.743
Sri Lanka,0.077
Liberia,0.183
Birmania,0.711
Malaui,1.015
Mexico,3.024
Mozambique,0.819
Nigeria,0.986
Nicaragua,1.611
Nepal,1.265
Panama,0.912
Peru,2.46
Pakistan,0.81
Paraguay,1.264
Ruanda,0.667
Sierra Leona,0.265
Senegal,0.441
Surinam,0.334
El Salvador,0.852
Tayikistan,0.801
Trinidad y Tobago,0.586
Tanzania,0.973
Uganda,1.684
Uruguay,2.653
Venezuela,0.597
Vietnam,1.998
Sudafrica,2.78
Zambia,1.34
Zimbabue,0.967
