name:en_var,type_var,2014
Score,score,0.724
Enabling framework,param,0.908
Clean energy policies,ind,0.0
Power sector structure,ind,0.035
Distributed energy regulatory framework,ind,0.053
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.008
Policy barriers,ind,0.005
Clean energy installed capacity,ind,0.06
Growth rate of installed capacity,ind,0.0
Clean energy electricity generation,ind,0.023
Growth rate of electricity generation,ind,0.0
Biofuels production,ind,0.0
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.0
Average retail electricity prices,ind,0.076
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.023
Average diesel prices,ind,0.013
Growth rate of power demand,ind,0.0
Electrification rate,ind,0.007
Population using solid fuels for cooking,ind,0.019
Financing and Investments,param,0.379
Clean energy investments,ind,0.0
Growth rate of clean energy investments,ind,0.0
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.017
Local investments,ind,0.0
Number of Green MFI,ind,0.0
Green micro-loans,ind,0.0
Green micro-borrowers,ind,0.001
Average cost of green micro debt,ind,0.004
Average cost of debt,ind,0.062
Swap rate,ind,0.03
Value chains,param,1.576
Financial institutions in clean energy,ind,0.0
Value chains by clean energy sector,ind,0.004
Distributed clean energy value chains by sector,ind,0.075
Clean energy service providers,ind,0.008
Distributed clean energy service providers,ind,0.15
GHG management,param,0.071
Carbon offsets historical activity,ind,0.0
CDM risk,ind,0.0
Carbon offsets future potential,ind,0.011
GHG emissions reduction target,ind,0.0
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.0
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.0
Corporate energy efficiency initiatives,ind,0.0
Corporate emission reduction policies,ind,0.0
Capacity building – env. business training,ind,0.0
Capacity building – think tanks,ind,0.0
Global rank,rank,45.0
Regional rank,rank,20.0
