name:en_var,type_var,2014
Score,score,1.751
Enabling framework,param,1.503
Clean energy policies,ind,0.199
Power sector structure,ind,0.1
Distributed energy regulatory framework,ind,0.0
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.0
Policy barriers,ind,0.006
Clean energy installed capacity,ind,0.026
Growth rate of installed capacity,ind,0.0
Clean energy electricity generation,ind,0.012
Growth rate of electricity generation,ind,0.034
Biofuels production,ind,0.0
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.065
Average retail electricity prices,ind,0.046
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.0
Average diesel prices,ind,0.0
Growth rate of power demand,ind,0.041
Electrification rate,ind,0.002
Population using solid fuels for cooking,ind,0.0
Financing and Investments,param,2.027
Clean energy investments,ind,0.042
Growth rate of clean energy investments,ind,0.338
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.009
Local investments,ind,0.132
Number of Green MFI,ind,0.003
Green micro-loans,ind,0.0
Green micro-borrowers,ind,0.0
Average cost of green micro debt,ind,0.004
Average cost of debt,ind,0.044
Swap rate,ind,0.038
Value chains,param,1.161
Financial institutions in clean energy,ind,0.038
Value chains by clean energy sector,ind,0.109
Distributed clean energy value chains by sector,ind,0.0
Clean energy service providers,ind,0.028
Distributed clean energy service providers,ind,0.0
GHG management,param,2.653
Carbon offsets historical activity,ind,0.15
CDM risk,ind,0.075
Carbon offsets future potential,ind,0.037
GHG emissions reduction target,ind,0.0
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.028
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.033
Corporate energy efficiency initiatives,ind,0.0
Corporate emission reduction policies,ind,0.0
Capacity building – env. business training,ind,0.038
Capacity building – think tanks,ind,0.038
Global rank,rank,6.0
Regional rank,rank,3.0
