name:en_var,type_var,2014
Score,score,1.158
Enabling framework,param,1.54
Clean energy policies,ind,0.215
Power sector structure,ind,0.115
Distributed energy regulatory framework,ind,0.0
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.0
Policy barriers,ind,0.013
Clean energy installed capacity,ind,0.026
Growth rate of installed capacity,ind,0.0
Clean energy electricity generation,ind,0.014
Growth rate of electricity generation,ind,0.039
Biofuels production,ind,0.0
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.071
Average retail electricity prices,ind,0.038
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.0
Average diesel prices,ind,0.0
Growth rate of power demand,ind,0.043
Electrification rate,ind,0.002
Population using solid fuels for cooking,ind,0.0
Financing and Investments,param,0.308
Clean energy investments,ind,0.004
Growth rate of clean energy investments,ind,0.0
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.0
Local investments,ind,0.0
Number of Green MFI,ind,0.015
Green micro-loans,ind,0.0
Green micro-borrowers,ind,0.0
Average cost of green micro debt,ind,0.006
Average cost of debt,ind,0.04
Swap rate,ind,0.027
Value chains,param,0.895
Financial institutions in clean energy,ind,0.075
Value chains by clean energy sector,ind,0.059
Distributed clean energy value chains by sector,ind,0.0
Clean energy service providers,ind,0.0
Distributed clean energy service providers,ind,0.0
GHG management,param,2.117
Carbon offsets historical activity,ind,0.075
CDM risk,ind,0.05
Carbon offsets future potential,ind,0.005
GHG emissions reduction target,ind,0.094
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.019
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.0
Corporate energy efficiency initiatives,ind,0.0
Corporate emission reduction policies,ind,0.0
Capacity building – env. business training,ind,0.038
Capacity building – think tanks,ind,0.038
